Country,Bronze Medals,Country Population,Gold Medals,Silver Medals,Total Athlete Participants,Total Medals Won
Albania,0.0,2889167.0,0.0,0.0,2.0,0.0
Algeria,0.0,39666519.0,0.0,0.0,7.0,0.0
American Samoa,0.0,0.0,0.0,0.0,2.0,0.0
Andorra,0.0,70473.0,0.0,0.0,28.0,0.0
Argentina,0.0,43416755.0,0.0,0.0,136.0,0.0
Armenia,0.0,3017712.0,0.0,0.0,28.0,0.0
Australia,4.0,23781169.0,5.0,3.0,240.0,12.0
Austria,81.0,8611088.0,59.0,78.0,859.0,218.0
Azerbaijan,0.0,9651349.0,0.0,0.0,13.0,0.0
Belarus,5.0,9513000.0,6.0,4.0,160.0,15.0
Belgium,3.0,11285721.0,1.0,1.0,124.0,5.0
Bermuda,0.0,0.0,0.0,0.0,3.0,0.0
Bolivia,0.0,10724705.0,0.0,0.0,13.0,0.0
Bosnia and Herzegovina,0.0,3810416.0,0.0,0.0,28.0,0.0
Brazil,0.0,207847528.0,0.0,0.0,32.0,0.0
British Virgin Islands,0.0,30117.0,0.0,0.0,2.0,0.0
Bulgaria,3.0,7177991.0,1.0,2.0,180.0,6.0
Cameroon,0.0,23344179.0,0.0,0.0,1.0,0.0
Canada,52.0,35851774.0,62.0,56.0,1279.0,170.0
Cayman Islands,0.0,0.0,0.0,0.0,1.0,0.0
Chile,0.0,17948141.0,0.0,0.0,50.0,0.0
China,19.0,1371220000.0,12.0,22.0,311.0,53.0
Chinese Taipei,0.0,0.0,0.0,0.0,44.0,0.0
Colombia,0.0,48228704.0,0.0,0.0,1.0,0.0
Costa Rica,0.0,4807850.0,0.0,0.0,7.0,0.0
Croatia,1.0,4224404.0,4.0,6.0,51.0,11.0
Cyprus,0.0,1165300.0,0.0,0.0,14.0,0.0
Czech Republic,8.0,10551219.0,7.0,9.0,267.0,24.0
Czechoslovakia,15.0,0.0,2.0,8.0,480.0,25.0
Denmark,0.0,5676002.0,0.0,1.0,58.0,1.0
Dominica,0.0,72680.0,0.0,0.0,1.0,0.0
East Germany,35.0,0.0,39.0,36.0,232.0,110.0
Egypt,0.0,91508084.0,0.0,0.0,1.0,0.0
Estonia,1.0,1311998.0,4.0,2.0,94.0,7.0
Ethiopia,0.0,99390750.0,0.0,0.0,1.0,0.0
Fiji,0.0,892145.0,0.0,0.0,2.0,0.0
Finland,57.0,5482013.0,42.0,62.0,723.0,161.0
France,47.0,66808385.0,31.0,31.0,823.0,109.0
Georgia,0.0,3679000.0,0.0,0.0,15.0,0.0
Germany,58.0,81413145.0,86.0,84.0,891.0,228.0
Ghana,0.0,27409893.0,0.0,0.0,1.0,0.0
Great Britain,12.0,0.0,10.0,4.0,642.0,26.0
Greece,0.0,10823732.0,0.0,0.0,66.0,0.0
Guam,0.0,169885.0,0.0,0.0,1.0,0.0
Guatemala,0.0,16342897.0,0.0,0.0,6.0,0.0
Honduras,0.0,8075060.0,0.0,0.0,1.0,0.0
Hong Kong,0.0,0.0,0.0,0.0,4.0,0.0
Hungary,4.0,9844686.0,0.0,2.0,206.0,6.0
Iceland,0.0,330823.0,0.0,0.0,75.0,0.0
India,0.0,1311050527.0,0.0,0.0,21.0,0.0
Individual Olympic Athletes,0.0,0.0,0.0,0.0,1.0,0.0
Iran,0.0,79109272.0,0.0,0.0,24.0,0.0
Ireland,0.0,4640703.0,0.0,0.0,27.0,0.0
Israel,0.0,8380400.0,0.0,0.0,13.0,0.0
Italy,43.0,60802085.0,37.0,34.0,938.0,114.0
Jamaica,0.0,2725941.0,0.0,0.0,11.0,0.0
Japan,18.0,126958472.0,10.0,17.0,798.0,45.0
Kazakhstan,3.0,17544126.0,1.0,3.0,192.0,7.0
Kenya,0.0,46050302.0,0.0,0.0,1.0,0.0
Kyrgyzstan,0.0,5957000.0,0.0,0.0,7.0,0.0
Latvia,3.0,1978440.0,0.0,4.0,194.0,7.0
Lebanon,0.0,5850743.0,0.0,0.0,31.0,0.0
Liechtenstein,5.0,37531.0,2.0,2.0,80.0,9.0
Lithuania,0.0,2910199.0,0.0,0.0,26.0,0.0
Luxembourg,0.0,569676.0,0.0,2.0,12.0,2.0
Macedonia,0.0,2078453.0,0.0,0.0,10.0,0.0
Madagascar,0.0,24235390.0,0.0,0.0,1.0,0.0
Malta,0.0,431333.0,0.0,0.0,1.0,0.0
Mexico,0.0,127017224.0,0.0,0.0,32.0,0.0
Moldova,0.0,3554150.0,0.0,0.0,15.0,0.0
Monaco,0.0,37731.0,0.0,0.0,16.0,0.0
Mongolia,0.0,2959134.0,0.0,0.0,39.0,0.0
Montenegro,0.0,0.0,0.0,0.0,3.0,0.0
Morocco,0.0,34377511.0,0.0,0.0,24.0,0.0
Nepal,0.0,28513700.0,0.0,0.0,3.0,0.0
Netherlands,35.0,16936520.0,37.0,38.0,214.0,110.0
Netherlands Antilles,0.0,0.0,0.0,0.0,3.0,0.0
New Zealand,0.0,4595700.0,0.0,1.0,90.0,1.0
North Korea,1.0,0.0,0.0,1.0,62.0,2.0
Norway,100.0,5195921.0,118.0,111.0,820.0,329.0
Pakistan,0.0,188924874.0,0.0,0.0,2.0,0.0
Paraguay,0.0,6639123.0,0.0,0.0,1.0,0.0
Peru,0.0,31376670.0,0.0,0.0,3.0,0.0
Philippines,0.0,100699395.0,0.0,0.0,5.0,0.0
Poland,7.0,37999494.0,6.0,7.0,511.0,20.0
Portugal,0.0,10348648.0,0.0,0.0,12.0,0.0
Puerto Rico,0.0,0.0,0.0,0.0,17.0,0.0
Romania,1.0,19832389.0,0.0,0.0,281.0,1.0
Russia,35.0,144096812.0,49.0,40.0,616.0,124.0
San Marino,0.0,31781.0,0.0,0.0,15.0,0.0
Senegal,0.0,15129273.0,0.0,0.0,3.0,0.0
Serbia,0.0,7098247.0,0.0,0.0,15.0,0.0
Serbia and Montenegro,0.0,0.0,0.0,0.0,12.0,0.0
Slovakia,1.0,5424050.0,2.0,2.0,201.0,5.0
Slovenia,9.0,2063768.0,2.0,4.0,158.0,15.0
South Africa,0.0,54956920.0,0.0,0.0,11.0,0.0
South Korea,10.0,0.0,26.0,17.0,255.0,53.0
Soviet Union,59.0,0.0,78.0,57.0,473.0,194.0
Spain,1.0,46418269.0,1.0,0.0,132.0,2.0
Swaziland,0.0,1286970.0,0.0,0.0,1.0,0.0
Sweden,54.0,9798871.0,50.0,40.0,902.0,144.0
Switzerland,48.0,8286976.0,50.0,40.0,1007.0,138.0
Tajikistan,0.0,8481855.0,0.0,0.0,2.0,0.0
Thailand,0.0,67959359.0,0.0,0.0,3.0,0.0
Timor Leste,0.0,0.0,0.0,0.0,1.0,0.0
Togo,0.0,7304578.0,0.0,0.0,2.0,0.0
Tonga,0.0,106170.0,0.0,0.0,1.0,0.0
Trinidad and Tobago,0.0,1360088.0,0.0,0.0,4.0,0.0
Turkey,0.0,78665830.0,0.0,0.0,61.0,0.0
Ukraine,4.0,45198200.0,2.0,1.0,198.0,7.0
Unified Team,8.0,0.0,9.0,6.0,129.0,23.0
United States,84.0,321418820.0,96.0,102.0,1696.0,282.0
United States Virgin Islands,0.0,0.0,0.0,0.0,26.0,0.0
Uruguay,0.0,3431555.0,0.0,0.0,1.0,0.0
Uzbekistan,0.0,31299500.0,1.0,0.0,21.0,1.0
Venezuela,0.0,31108083.0,0.0,0.0,5.0,0.0
West Germany,13.0,0.0,11.0,15.0,336.0,39.0
Yugoslavia,1.0,0.0,0.0,3.0,235.0,4.0
Zimbabwe,0.0,15602751.0,0.0,0.0,1.0,0.0
