Name,Lat,Lon
Andorra,42.55,1.6
United Arab Emirates,23.42,53.85
Afghanistan,33.94,67.71
Antigua and Barbuda,17.06,-61.8
Anguilla,18.22,-63.07
Albania,41.15,20.17
Armenia,40.07,45.04
Netherlands Antilles,12.23,-69.06
Angola,-11.2,17.87
Antarctica,-75.25,-0.07
Argentina,-38.42,-63.62
American Samoa,-14.27,-170.13
Austria,47.52,14.55
Australia,-25.27,133.78
Aruba,12.52,-69.97
Azerbaijan,40.14,47.58
Bosnia and Herzegovina,43.92,17.68
Barbados,13.19,-59.54
Bangladesh,23.69,90.36
Belgium,50.5,4.47
Burkina Faso,12.24,-1.56
Bulgaria,42.73,25.49
Bahrain,25.93,50.64
Burundi,-3.37,29.92
Benin,9.31,2.32
Bermuda,32.32,-64.76
Brunei,4.54,114.73
Bolivia,-16.29,-63.59
Brazil,-14.24,-51.93
Bahamas,25.03,-77.4
Bhutan,27.51,90.43
Bouvet Island,-54.42,3.41
Botswana,-22.33,24.69
Belarus,53.71,27.95
Belize,17.19,-88.5
Canada,56.13,-106.35
Cocos [Keeling] Islands,-12.16,96.87
Congo [DRC],-4.04,21.76
Central African Republic,6.61,20.94
Congo [Republic],-0.23,15.83
Switzerland,46.82,8.23
Côte d'Ivoire,7.54,-5.55
Cook Islands,-21.24,-159.78
Chile,-35.68,-71.54
Cameroon,7.37,12.36
China,35.86,104.2
Colombia,4.57,-74.3
Costa Rica,9.75,-83.75
Cuba,21.52,-77.78
Cape Verde,16,-24.01
Christmas Island,-10.45,105.69
Cyprus,35.13,33.43
Czech Republic,49.82,15.47
Germany,51.17,10.45
Djibouti,11.83,42.59
Denmark,56.26,9.5
Dominica,15.42,-61.37
Dominican Republic,18.74,-70.16
Algeria,28.03,1.66
Ecuador,-1.83,-78.18
Estonia,58.6,25.01
Egypt,26.82,30.8
Western Sahara,24.22,-12.89
Eritrea,15.18,39.78
Spain,40.46,-3.75
Ethiopia,9.15,40.49
Finland,61.92,25.75
Fiji,-16.58,179.41
Falkland Islands [Islas Malvinas],-51.8,-59.52
Micronesia,7.43,150.55
Faroe Islands,61.89,-6.91
France,46.23,2.21
Gabon,-0.8,11.61
United Kingdom,55.38,-3.44
Grenada,12.26,-61.6
Georgia,42.32,43.36
French Guiana,3.93,-53.13
Guernsey,49.47,-2.59
Ghana,7.95,-1.02
Gibraltar,36.14,-5.35
Greenland,71.71,-42.6
Gambia,13.44,-15.31
Guinea,9.95,-9.7
Guadeloupe,17,-62.07
Equatorial Guinea,1.65,10.27
Greece,39.07,21.82
South Georgia and the South Sandwich Islands,-54.43,-36.59
Guatemala,15.78,-90.23
Guam,13.44,144.79
Guinea-Bissau,11.8,-15.18
Guyana,4.86,-58.93
Gaza Strip,31.36,34.31
Hong Kong,22.4,114.11
Heard Island and McDonald Islands,-53.08,73.5
Honduras,15.2,-86.24
Croatia,45.1,15.2
Haiti,18.97,-72.29
Hungary,47.16,19.5
Indonesia,-0.79,113.92
Ireland,53.41,-8.24
Israel,31.05,34.85
Isle of Man,54.24,-4.55
India,20.59,78.96
British Indian Ocean Territory,-6.34,71.88
Iraq,33.22,43.68
Iran,32.43,53.69
Iceland,64.96,-19.02
Italy,41.87,12.57
Jersey,49.21,-2.13
Jamaica,18.11,-77.3
Jordan,30.59,36.24
Japan,36.21,138.25
Kenya,-0.02,37.91
Kyrgyzstan,41.2,74.77
Cambodia,12.57,104.99
Kiribati,-3.37,-168.73
Comoros,-11.88,43.87
Saint Kitts and Nevis,17.36,-62.78
North Korea,40.34,127.51
South Korea,35.91,127.77
Kuwait,29.31,47.48
Cayman Islands,19.51,-80.57
Kazakhstan,48.02,66.92
Laos,19.86,102.5
Lebanon,33.86,35.86
Saint Lucia,13.91,-60.98
Liechtenstein,47.17,9.56
Sri Lanka,7.87,80.77
Liberia,6.43,-9.43
Lesotho,-29.61,28.23
Lithuania,55.17,23.88
Luxembourg,49.82,6.13
Latvia,56.88,24.6
Libya,26.34,17.23
Morocco,31.79,-7.09
Monaco,43.75,7.41
Moldova,47.41,28.37
Montenegro,42.71,19.37
Madagascar,-18.77,46.87
Marshall Islands,7.13,171.18
Macedonia,41.61,21.75
Mali,17.57,-4
Myanmar [Burma],21.91,95.96
Mongolia,46.86,103.85
Macau,22.2,113.54
Northern Mariana Islands,17.33,145.39
Martinique,14.64,-61.02
Mauritania,21.01,-10.94
Montserrat,16.74,-62.19
Malta,35.94,14.38
Mauritius,-20.35,57.55
Maldives,3.2,73.22
Malawi,-13.25,34.3
Mexico,23.64,-102.55
Malaysia,4.21,101.98
Mozambique,-18.67,35.53
Namibia,-22.96,18.49
New Caledonia,-20.9,165.62
Niger,17.61,8.08
Norfolk Island,-29.04,167.96
Nigeria,9.08,8.68
Nicaragua,12.87,-85.21
Netherlands,52.13,5.29
Norway,60.47,8.47
Nepal,28.4,84.12
Nauru,-0.52,166.93
Niue,-19.05,-169.87
New Zealand,-40.9,174.89
Oman,21.51,55.92
Panama,8.54,-80.78
Peru,-9.19,-75.02
French Polynesia,-17.68,-149.41
Papua New Guinea,-6.32,143.96
Philippines,12.88,121.77
Pakistan,30.38,69.35
Poland,51.92,19.15
Saint Pierre and Miquelon,46.94,-56.27
Pitcairn Islands,-24.7,-127.44
Puerto Rico,18.22,-66.59
Palestinian Territories,31.95,35.23
Portugal,39.4,-8.22
Palau,7.52,134.58
Paraguay,-23.44,-58.44
Qatar,25.36,51.18
Réunion,-21.12,55.54
Romania,45.94,24.97
Serbia,44.02,21.01
Russia,61.52,105.32
Rwanda,-1.94,29.87
Saudi Arabia,23.89,45.08
Solomon Islands,-9.65,160.16
Seychelles,-4.68,55.49
Sudan,12.86,30.22
Sweden,60.13,18.64
Singapore,1.35,103.82
Saint Helena,-24.14,-10.03
Slovenia,46.15,15
Svalbard and Jan Mayen,77.55,23.67
Slovakia,48.67,19.7
Sierra Leone,8.46,-11.78
San Marino,43.94,12.46
Senegal,14.5,-14.45
Somalia,5.15,46.2
Suriname,3.92,-56.03
São Tomé and Príncipe,0.19,6.61
El Salvador,13.79,-88.9
Syria,34.8,39
Swaziland,-26.52,31.47
Turks and Caicos Islands,21.69,-71.8
Chad,15.45,18.73
French Southern Territories,-49.28,69.35
Togo,8.62,0.83
Thailand,15.87,100.99
Tajikistan,38.86,71.28
Tokelau,-8.97,-171.86
Timor-Leste,-8.87,125.73
Turkmenistan,38.97,59.56
Tunisia,33.89,9.54
Tonga,-21.18,-175.2
Turkey,38.96,35.24
Trinidad and Tobago,10.69,-61.22
Tuvalu,-7.11,177.65
Taiwan,23.7,120.96
Tanzania,-6.37,34.89
Ukraine,48.38,31.17
Uganda,1.37,32.29
United States,37.09,-95.71
Uruguay,-32.52,-55.77
Uzbekistan,41.38,64.59
Vatican City,41.9,12.45
Saint Vincent and the Grenadines,12.98,-61.29
Venezuela,6.42,-66.59
British Virgin Islands,18.42,-64.64
Virgin Islands,18.34,-64.9
Vietnam,14.06,108.28
Vanuatu,-15.38,166.96
Wallis and Futuna,-13.77,-177.16
Samoa,-13.76,-172.11
Kosovo,42.6,20.9
Yemen,15.55,48.52
Mayotte,-12.83,45.17
South Africa,-30.56,22.94
Zambia,-13.13,27.85
Zimbabwe,-19.02,29.16
Chinese Taipei,23.7,120.96
